trial_id,trial_type,input_state,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_rep,M_Z_rep,M_X_rec,M_Z_rec,M_correct_before,M_correct_after,fidelity_before,fidelity_after,bell_outcome,verification_pass,p_phi_plus,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,sweep_noise
101,regular,psi,"[6, 7]","{7: 'withhold', 6: 'equivocate'}",0,1,1,"[6, 7]",2,0,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 0, 0]",1,1,0,1,1,1,0,1,0.4624186592657895,0.9186052929341242,,,,0.01,8,2,False,False,0.01
102,regular,psi,"[1, 6]","{6: 'equivocate', 1: 'equivocate'}",0,2,0,"[1, 6]",2,0,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 1]",0,1,1,0,0,1,0,1,0.3114857484686063,0.9186053427689833,,,,0.01,8,2,False,False,0.01
103,regular,psi,"[5, 6]","{5: 'equivocate', 6: 'withhold'}",0,1,1,"[5, 6]",2,0,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1]","[1, 0, 0, 1, 0, 1, 1, 1]","[1, 0, 0, 1, 1, 1, 1, 1]",0,0,0,1,0,0,0,1,0.3074901845053303,0.9186053510681661,,,,0.01,8,2,False,False,0.01
104,regular,psi,"[5, 8]","{5: 'equivocate', 8: 'withhold'}",0,1,1,"[5, 8]",2,0,"[0, 0, 1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 1, 1, 0, 0]",1,0,1,1,1,0,0,1,0.30749019399034055,0.9186053199438239,,,,0.01,8,2,False,False,0.01
105,regular,psi,"[3, 4]","{4: 'withhold', 3: 'equivocate'}",0,1,1,"[3, 4]",2,0,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 0, 1, 0]","[0, 1, 1, 0, 1, 0, 1, 0]",0,1,0,0,0,1,0,1,0.3074901765479431,0.9186053047342604,,,,0.01,8,2,False,False,0.01
106,verification,verification,"[4, 5]","{4: 'withhold', 5: 'equivocate'}",0,1,1,"[4, 5]",2,0,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 1, 0, 0, 0]",0,0,0,1,0,0,0,1,,,Phi+,True,0.9215037948341309,0.01,8,2,False,False,0.01
107,regular,psi,"[3, 6]","{3: 'coherent_flip', 6: 'coherent_flip'}",2,0,0,[],0,2,"[0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[0, 1, 0, 1, 1, 0, 1, 0]","[0, 1, 0, 1, 1, 0, 1, 0]",0,1,1,0,1,0,0,0,0.3114857804651639,0.3114857804651639,,,,0.01,8,2,False,False,0.01
108,verification,verification,"[7, 8]","{7: 'coherent_flip', 8: 'equivocate'}",1,1,0,[8],1,1,"[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1, 1, 0]",1,0,0,1,1,1,0,0,,,Phi-,False,0.026165381853740906,0.01,8,2,False,False,0.01
109,regular,plus,"[2, 3]","{3: 'coherent_flip', 2: 'coherent_flip'}",2,0,0,[],0,2,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 1, 1, 0, 1, 0, 0, 1]","[0, 1, 1, 0, 1, 0, 0, 1]",0,0,1,1,1,1,0,0,0.047808915376663215,0.047808915376663215,,,,0.01,8,2,True,True,0.01
110,regular,psi,"[5, 6]","{5: 'equivocate', 6: 'equivocate'}",0,2,0,"[5, 6]",2,0,"[1, 1, 0, 0, 0, 1, 0, 0, 1, 1]","[0, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 0, 0, 1, 1]",1,0,0,1,1,0,0,1,0.3114857600954144,0.9186053311421751,,,,0.01,8,2,False,False,0.01
