trial_id,trial_type,input_state,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_rep,M_Z_rep,M_X_rec,M_Z_rec,M_correct_before,M_correct_after,fidelity_before,fidelity_after,bell_outcome,verification_pass,p_phi_plus,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,sweep_f
125,verification,verification,[4],{4: 'coherent_flip'},1,0,0,[],0,1,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]","[0, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 1, 1, 1, 0, 0, 1]",0,0,1,0,1,0,0,0,,,Psi+,False,0.026165407816788465,0.01,8,1,False,False,1
126,regular,psi,[5],{5: 'coherent_flip'},1,0,0,[],0,1,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 0, 1, 0, 0, 1]",1,0,1,1,1,1,0,0,0.307490249951891,0.307490249951891,,,,0.01,8,1,False,False,1
127,regular,psi,[8],{8: 'withhold'},0,0,1,[8],1,0,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 1, 0]",0,1,0,1,0,1,1,1,0.9186053709941584,0.9186053709941584,,,,0.01,8,1,False,False,1
128,regular,psi,[7],{7: 'withhold'},0,0,1,[7],1,0,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 0]","[1, 0, 1, 0, 1, 1, 1, 0]","[1, 0, 1, 0, 1, 1, 1, 0]",0,0,0,0,0,0,1,1,0.918605316187741,0.918605316187741,,,,0.01,8,1,False,False,1
129,verification,verification,[4],{4: 'withhold'},0,0,1,[4],1,0,"[0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0]",1,0,1,0,1,0,1,1,,,Phi+,True,0.9215037948341309,0.01,8,1,False,False,1
130,regular,psi,[4],{4: 'coherent_flip'},1,0,0,[],0,1,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 0, 1, 1, 1, 0]","[0, 0, 1, 0, 1, 1, 1, 0]",1,0,0,0,0,0,0,0,0.46241871739983154,0.46241871739983154,,,,0.01,8,1,False,False,1
131,regular,psi,[8],{8: 'coherent_flip'},1,0,0,[],0,1,"[1, 0, 1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]",1,1,0,1,0,1,0,0,0.46241873738300093,0.46241873738300093,,,,0.01,8,1,False,False,1
132,regular,psi,[5],{5: 'withhold'},0,0,1,[5],1,0,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",1,0,1,0,1,0,1,1,0.9186053826209672,0.9186053826209672,,,,0.01,8,1,False,False,1
133,regular,zero,[7],{7: 'equivocate'},0,1,0,[7],1,0,"[0, 1, 0, 1, 1, 0, 0, 1, 1, 1]","[0, 1, 1, 0, 0, 1, 0, 1]","[0, 1, 1, 0, 0, 1, 1, 1]",0,0,0,1,0,0,0,1,0.952191069009767,0.952191069009767,,,,0.01,8,1,True,False,1
134,regular,psi,[2],{2: 'equivocate'},0,1,0,[2],1,0,"[1, 1, 0, 1, 1, 1, 0, 0, 1, 1]","[0, 0, 1, 1, 0, 0, 1, 1]","[0, 1, 1, 1, 0, 0, 1, 1]",0,1,1,1,0,1,0,1,0.4624187088292415,0.9186053709941584,,,,0.01,8,1,False,False,1
