trial_id,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_reported,M_Z_reported,M_X_recovered,M_Z_recovered,M_correct_before,M_correct_after,fidelity_before,fidelity_after,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,input_state,sweep_noise
4,"[4, 8]","{8: 'equivocate', 4: 'equivocate'}",0,2,0,"[4, 8]",2,0,"[0, 1, 0, 1, 1, 0, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 1]","[0, 1, 1, 0, 0, 0, 1, 0]",0,0,0,0,0,0,1,1,0.8888720778234347,0.8888720778234347,0.005,8,2,False,False,psi,0.005
5,"[3, 7]","{3: 'withhold', 7: 'withhold'}",0,0,2,"[3, 7]",2,0,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","[0, 0, 1, 1, 0, 0, 1, 0]","[0, 0, 1, 1, 0, 0, 1, 0]",1,0,1,0,1,0,1,1,0.9300834766762662,0.9300834766762662,0.005,8,2,True,False,zero,0.005
6,"[2, 7]","{2: 'equivocate', 7: 'withhold'}",0,1,1,"[2, 7]",2,0,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 1, 0, 1]",1,1,0,1,1,1,0,1,0.4699088240669123,0.8888720778234346,0.005,8,2,False,False,psi,0.005
7,"[2, 6]","{2: 'withhold', 6: 'withhold'}",0,0,2,"[2, 6]",2,0,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[0, 0, 1, 0, 1, 1, 0, 1]","[0, 0, 1, 0, 1, 1, 0, 1]",0,1,0,1,0,1,1,1,0.8888720778234348,0.8888720778234348,0.005,8,2,False,False,psi,0.005
8,"[2, 4]","{2: 'withhold', 4: 'equivocate'}",0,1,1,"[2, 4]",2,0,"[0, 1, 1, 0, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 1]",1,0,0,0,1,0,0,1,0.46990882406691253,0.8888720778234347,0.005,8,2,False,False,psi,0.005
9,"[2, 6]","{2: 'coherent_flip', 6: 'equivocate'}",1,1,0,[6],1,1,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[0, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 0, 0, 1]",0,1,0,1,1,1,1,0,0.8888720778234347,0.4699088240669124,0.005,8,2,False,False,psi,0.005
10,"[6, 7]","{6: 'equivocate', 7: 'coherent_flip'}",1,1,0,[6],1,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 1]",0,0,1,1,0,1,0,0,0.3171944789348776,0.32402461917477576,0.005,8,2,False,False,psi,0.005
11,"[1, 6]","{6: 'withhold', 1: 'coherent_flip'}",1,0,1,[6],1,1,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0]","[1, 0, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 1, 0, 1, 0, 0]",1,0,0,1,0,1,0,0,0.3171944789348773,0.3171944789348773,0.005,8,2,False,False,psi,0.005
12,"[3, 8]","{8: 'equivocate', 3: 'equivocate'}",0,2,0,"[3, 8]",2,0,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 1]",0,1,1,1,0,0,0,0,0.46990882406691237,0.32402461917477576,0.005,8,2,False,False,psi,0.005
13,"[2, 6]","{2: 'equivocate', 6: 'coherent_flip'}",1,1,0,[2],1,1,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1, 1, 1]",0,1,0,1,1,1,1,0,0.8888720778234347,0.4699088240669125,0.005,8,2,False,False,psi,0.005
14,"[1, 3]","{1: 'equivocate', 3: 'withhold'}",0,1,1,"[1, 3]",2,0,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 0]",1,1,1,0,1,1,0,1,0.3240246191747759,0.8888720778234345,0.005,8,2,False,False,psi,0.005
15,"[4, 5]","{4: 'coherent_flip', 5: 'withhold'}",1,0,1,[5],1,1,"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 1, 1]",0,0,1,0,1,0,0,0,0.46990882406691237,0.46990882406691237,0.005,8,2,False,False,psi,0.005
16,"[3, 6]","{3: 'equivocate', 6: 'equivocate'}",0,2,0,"[3, 6]",2,0,"[0, 1, 1, 0, 1, 0, 0, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 0, 1, 1, 1]",1,1,0,0,1,1,0,1,0.3171944789348775,0.8888720778234345,0.005,8,2,False,False,psi,0.005
17,"[7, 8]","{7: 'withhold', 8: 'coherent_flip'}",1,0,1,[7],1,1,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 1, 1]","[0, 1, 1, 0, 0, 0, 1, 1]",1,1,0,1,0,1,0,0,0.4699088240669124,0.4699088240669124,0.005,8,2,False,False,psi,0.005
18,"[2, 7]","{7: 'equivocate', 2: 'equivocate'}",0,2,0,"[2, 7]",2,0,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 1, 0, 0, 0, 0, 0]",0,1,1,1,0,0,0,0,0.46990882406691253,0.32402461917477576,0.005,8,2,False,False,psi,0.005
19,"[6, 7]","{6: 'withhold', 7: 'equivocate'}",0,1,1,"[6, 7]",2,0,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 1, 0]",1,1,1,0,1,1,0,1,0.3240246191747757,0.8888720778234347,0.005,8,2,False,False,psi,0.005
0,"[3, 8]","{8: 'coherent_flip', 3: 'coherent_flip'}",2,0,0,[],0,2,"[0, 1, 1, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 1]",0,1,1,0,1,0,0,0,0.3402260605657733,0.3402260605657733,0.01,8,2,False,False,psi,0.01
1,"[1, 8]","{8: 'coherent_flip', 1: 'withhold'}",1,0,1,[1],1,1,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 0, 0, 1, 0]","[1, 0, 1, 0, 0, 0, 1, 0]",1,0,0,0,0,0,0,0,0.4787136956552873,0.4787136956552873,0.01,8,2,False,False,psi,0.01
2,"[3, 6]","{6: 'equivocate', 3: 'coherent_flip'}",1,1,0,[6],1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 0, 1, 1]",0,1,1,0,0,0,0,0,0.3402260605657734,0.35464493332268443,0.01,8,2,False,False,psi,0.01
